id,region
0,Australia and New Zealand
1,Central and Eastern Europe
2,Eastern Asia
3,Latin America and Caribbean
4,Middle East and Northern Africa
5,North America
6,Southeastern Asia
7,Southern Asia
8,Sub-Saharan Africa
9,Western Europe
